[148, 50, 100, 1, 1, 3, '学一公寓101', '', '']
[148, 250, 350, 2, 64, 0, 'N', '', '']
[148, 300, 350, 2, 65, 3, '学一公寓226', '', '']
[148, 200, 350, 2, 66, 3, '学一公寓225', '', '']
[148, 450, 100, 1, 67, 3, '学一公寓106', '', '']
[148, 550, 0, 3, 68, 2, 'Stairs', '', '']
[148, 600, 0, 3, 69, 0, 'N', '', '']
[148, 600, 50, 3, 70, 3, '学一公寓301', '', '']
[148, 600, 50, 3, 71, 3, '学一公寓302', '', '']
[148, 650, 0, 3, 72, 0, 'N', '', '']
[148, 650, 50, 3, 73, 3, '学一公寓303', '', '']
[148, 650, 50, 3, 74, 3, '学一公寓304', '', '']
[148, 700, 0, 3, 75, 0, 'N', '', '']
[148, 700, 100, 3, 76, 0, 'N', '', '']
[148, 750, 0, 3, 77, 0, 'N', '', '']
[148, 750, 50, 3, 78, 3, '学一公寓305', '', '']
[148, 750, 50, 3, 79, 3, '学一公寓306', '', '']
[148, 800, 0, 3, 80, 0, 'N', '', '']
[148, 850, 0, 3, 81, 0, 'N', '', '']
[148, 850, 50, 3, 82, 3, '学一公寓309', '', '']
[148, 850, 50, 3, 83, 3, '学一公寓310', '', '']
[148, 800, 50, 3, 84, 3, '学一公寓308', '', '']
[148, 800, 50, 3, 85, 3, '学一公寓307', '', '']
[148, 750, 100, 3, 86, 3, '学一公寓312', '', '']
[148, 650, 100, 3, 87, 3, '学一公寓311', '', '']
[148, 700, 150, 3, 88, 0, 'N', '', '']
[148, 700, 200, 3, 89, 0, 'N', '', '']
[148, 750, 150, 3, 90, 3, '学一公寓314', '', '']
[148, 650, 150, 3, 91, 3, '学一公寓313', '', '']
[148, 650, 200, 3, 92, 3, '学一公寓315', '', '']
[148, 750, 200, 3, 93, 3, '学一公寓316', '', '']
[148, 700, 250, 3, 94, 0, 'N', '', '']
[148, 700, 300, 3, 95, 0, 'N', '', '']
[148, 750, 300, 3, 96, 3, '学一公寓320', '', '']
[148, 650, 300, 3, 97, 3, '学一公寓319', '', '']
[148, 750, 250, 3, 98, 3, '学一公寓318', '', '']
[148, 650, 250, 3, 99, 3, '学一公寓317', '', '']
[148, 700, 350, 3, 100, 0, 'N', '', '']
[148, 750, 350, 3, 101, 3, '学一公寓322', '', '']
[148, 650, 350, 3, 102, 3, '学一公寓321', '', '']
[148, 250, 500, 1, 103, 1, '150', '', '']
